pathway,n_genes,corr,abs_corr,sign
REACTOME_CD28_CO_STIMULATION,10,0.9182237386703491,0.9182237386703491,1
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,8,,,0
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,2,,,0
REACTOME_CDC42_GTPASE_CYCLE,31,0.8805541396141052,0.8805541396141052,1
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,5,,,0
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX,8,,,0
REACTOME_CELLULAR_HEXOSE_TRANSPORT,5,,,0
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,153,0.858595609664917,0.858595609664917,1
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,24,0.9134858846664429,0.9134858846664429,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,33,0.9011613726615906,0.9011613726615906,1
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,8,,,0
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,16,0.9517990350723267,0.9517990350723267,1
REACTOME_CELLULAR_SENESCENCE,44,0.8064361214637756,0.8064361214637756,1
REACTOME_CELL_CELL_COMMUNICATION,18,0.8507100343704224,0.8507100343704224,1
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,9,,,0
REACTOME_CELL_CYCLE,176,0.8757774829864502,0.8757774829864502,1
REACTOME_CELL_CYCLE_CHECKPOINTS,59,0.8710826635360718,0.8710826635360718,1
REACTOME_CELL_CYCLE_MITOTIC,136,0.8632591366767883,0.8632591366767883,1
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,25,0.8588447570800781,0.8588447570800781,1
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,1,,,0
REACTOME_CELL_JUNCTION_ORGANIZATION,9,,,0
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,36,0.8221943378448486,0.8221943378448486,1
REACTOME_CGMP_EFFECTS,3,,,0
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,8,,,0
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,35,0.8877605199813843,0.8877605199813843,1
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,0,,,0
REACTOME_CHL1_INTERACTIONS,3,,,0
REACTOME_CHOLESTEROL_BIOSYNTHESIS,11,0.8604804873466492,0.8604804873466492,1
REACTOME_CHOLINE_CATABOLISM,0,,,0
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,2,,,0
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,7,,,0
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION,2,,,0
REACTOME_CHROMATIN_MODIFYING_ENZYMES,61,0.8203611969947815,0.8203611969947815,1
REACTOME_CHROMOSOME_MAINTENANCE,33,0.8793903589248657,0.8793903589248657,1
REACTOME_CHYLOMICRON_ASSEMBLY,2,,,0
REACTOME_CHYLOMICRON_CLEARANCE,4,,,0
REACTOME_CHYLOMICRON_REMODELING,2,,,0
REACTOME_CILIUM_ASSEMBLY,55,0.8259918093681335,0.8259918093681335,1
REACTOME_CIRCADIAN_CLOCK,21,0.8295132517814636,0.8295132517814636,1
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,4,,,0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,74,0.8293358683586121,0.8293358683586121,1
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,18,0.8062463998794556,0.8062463998794556,1
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,1,,,0
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,77,0.883575975894928,0.883575975894928,1
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,6,,,0
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,27,0.8873275518417358,0.8873275518417358,1
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,5,,,0
REACTOME_CLEC7A_DECTIN_1_SIGNALING,17,0.8390279412269592,0.8390279412269592,1
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,3,,,0
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,4,,,0
REACTOME_COENZYME_A_BIOSYNTHESIS,3,,,0
